Nachos:             Total quantity sold: 3  Total sales: $11.55
Walking Tacos:      Total quantity sold: 4  Total sales: $21.00
Mountain Melter:    Total quantity sold: 0  Total sales: $0.00
Chocolate Bar:      Total quantity sold: 0  Total sales: $0.00
Chippos:            Total quantity sold: 3  Total sales: $7.65
Turkey Sandwich:    Total quantity sold: 12  Total sales: $58.20
Papsi:              Total quantity sold: 6  Total sales: $14.70
Caramel Bar:        Total quantity sold: 2  Total sales: $4.50
Popcorn:            Total quantity sold: 1  Total sales: $1.75
Veggie Wrap:        Total quantity sold: 3  Total sales: $12.75
7Down:              Total quantity sold: 1  Total sales: $1.75
Chewy Bar:          Total quantity sold: 1  Total sales: $2.15
Preengles:          Total quantity sold: 4  Total sales: $9.40
Burrito:            Total quantity sold: 2  Total sales: $9.70
Ginger Ayle:        Total quantity sold: 2  Total sales: $3.70
After Lunch Mints:  Total quantity sold: 2  Total sales: $2.70
Total gross sales: $161.50
