Nachos:             Total quantity sold: 6  Total sales: $23.10
Walking Tacos:      Total quantity sold: 5  Total sales: $26.25
Mountain Melter:    Total quantity sold: 1  Total sales: $2.35
Chocolate Bar:      Total quantity sold: 0  Total sales: $0.00
Chippos:            Total quantity sold: 4  Total sales: $10.20
Turkey Sandwich:    Total quantity sold: 12  Total sales: $58.20
Papsi:              Total quantity sold: 6  Total sales: $14.70
Caramel Bar:        Total quantity sold: 3  Total sales: $6.75
Popcorn:            Total quantity sold: 2  Total sales: $3.50
Veggie Wrap:        Total quantity sold: 3  Total sales: $12.75
7Down:              Total quantity sold: 2  Total sales: $3.50
Chewy Bar:          Total quantity sold: 1  Total sales: $2.15
Preengles:          Total quantity sold: 4  Total sales: $9.40
Burrito:            Total quantity sold: 3  Total sales: $14.55
Ginger Ayle:        Total quantity sold: 2  Total sales: $3.70
After Lunch Mints:  Total quantity sold: 2  Total sales: $2.70
Total gross sales: $193.80
